Composite Index,,,,
,,,,
103,,,,
104,,,,
105,,,,
103,,,,
101,,,,
99,,,,
97,,,,
99,,,,
99,,,,
99,,,,
101,,,,
102,,,,
100,,,,
99,,,,
99,,,,
99,,,,
100,,,,
102,,,,
103,,,,
106,,,,
108,,,,
109,,,,
111,,,,
112,,,,
111,,,,
112,,,,
114,,,,
116,,,,
117,,,,
119,,,,
